doc_number,corpus_size,vocab_count
729,353391,37727
730,353980,37761
731,354296,37780
732,354725,37795
733,355661,37871
734,355918,37890
735,356041,37893
736,356334,37908
737,356542,37935
738,357554,38016
739,358169,38046
740,358288,38048
741,358741,38075
742,358906,38083
743,359092,38101
744,359235,38102
745,359422,38109
746,360039,38143
747,360156,38143
748,360526,38159
749,360719,38160
750,360859,38162
751,361058,38166
752,361251,38190
753,361432,38193
754,361945,38210
755,362165,38214
756,362713,38257
757,362877,38263
758,363435,38284
759,363799,38313
760,363980,38318
761,364351,38341
762,364569,38403
763,364872,38418
764,365075,38431
765,365236,38438
766,365412,38453
767,365573,38461
768,365770,38466
769,366084,38594
770,366370,38623
771,366623,38667
772,367752,38741
773,368366,38779
774,368855,38813
775,369464,38851
776,369603,38855
777,369808,38863
778,370144,38876
779,370889,39234
780,371287,39252
781,371538,39258
782,371894,39284
783,372360,39299
784,372965,39317
785,373433,39322
786,373660,39339
787,373791,39342
788,373948,39354
789,374209,39362
790,374747,39392
791,375661,39443
792,375798,39448
793,376195,39471
794,377501,39558
795,378264,39596
796,378558,39603
797,379477,39645
798,380350,39723
799,380820,39771
800,382356,39833
801,382573,39847
802,382925,39871
803,383159,39873
804,383475,39883
805,384463,39952
806,385052,39999
807,385333,40013
808,386772,40098
809,387257,40113
810,388458,40173
811,389013,40202
812,389371,40261
813,389623,40312
814,390071,40327
815,390323,40333
816,390452,40340
817,390671,40413
818,390800,40417
819,391087,40431
820,391385,40437
821,392013,40476
822,392339,40538
823,393116,40557
824,394065,40651
825,394303,40660
826,394649,40675
827,395298,40897
828,395655,40903
829,395820,40911
830,396031,40983
831,396334,41034
832,397178,41094
833,397441,41110
834,398147,41287
835,398644,41321
836,398769,41327
837,399512,41356
838,399847,41368
839,400113,41379
840,400354,41394
841,400612,41408
842,400825,41416
843,400946,41418
844,401072,41420
845,401584,41430
846,402314,41466
847,402609,41586
848,402989,41613
849,403176,41616
850,404120,41668
851,404542,41686
852,404793,41706
853,405429,41727
854,406003,41755
855,406201,41763
856,406542,41780
857,406693,41787
858,408697,41928
859,417811,42515
860,418545,42532
861,418803,42535
862,418984,42562
863,419134,42565
864,419790,42582
865,420097,42589
866,420326,42599
867,420512,42608
868,421146,42730
869,421494,42770
870,422636,42830
871,424602,42972
872,426059,43088
873,427008,43160
874,427184,43161
