doc_number,corpus_size,vocab_count
732,374296,37134
733,374664,37149
734,374841,37160
735,375773,37224
736,376014,37236
737,376861,37282
738,377146,37294
739,377770,37336
740,378096,37346
741,378302,37352
742,378516,37367
743,379685,37412
744,379973,37429
745,380194,37433
746,380779,37463
747,384063,37616
748,384253,37619
749,384991,37716
750,385332,37733
751,389229,37894
752,389408,37904
753,389530,37907
754,389742,37914
755,391119,37942
756,391253,37952
757,391510,37974
758,391664,37978
759,391967,37990
760,392759,38033
761,393538,38084
762,393946,38110
763,394092,38113
764,394975,38147
765,401181,38470
766,402071,38510
767,402413,38521
768,402876,38534
769,403103,38535
770,403338,38550
771,403911,38596
772,404063,38603
773,404583,38631
774,405564,38674
775,406047,38723
776,408892,38819
777,410762,39026
778,411094,39050
779,412044,39121
780,412319,39137
781,412700,39150
782,412926,39163
783,413350,39178
784,413651,39202
785,413978,39211
786,418599,39591
787,421090,39924
788,421380,39949
789,422039,39978
790,422330,40004
791,422906,40039
792,423109,40040
793,423651,40117
794,423854,40122
795,424283,40169
796,424530,40177
797,424645,40180
798,425339,40297
799,425492,40303
800,425690,40314
801,425915,40319
802,426435,40371
803,426560,40377
804,426748,40381
805,426952,40392
806,427170,40402
807,427388,40413
808,427552,40423
809,428045,40437
810,428754,40479
811,429054,40514
812,429208,40524
813,429432,40540
814,429997,40658
815,430693,41135
816,431012,41155
817,432695,41224
818,433002,41272
819,433193,41288
820,433562,41311
821,433752,41327
822,437677,41529
823,437921,41537
824,438167,41542
825,438516,41562
826,438832,41570
827,439194,41586
828,442996,41806
829,443111,41810
830,443419,41834
831,443638,41841
832,444911,41889
833,445029,41890
834,445430,41930
835,445553,41935
836,446266,41960
837,446613,42025
838,447220,42071
839,447715,42342
840,447916,42351
841,448490,42405
842,448618,42408
843,448786,42414
844,449717,42469
845,450062,42588
846,450192,42590
847,450874,42640
848,451032,42645
849,451975,42709
850,452205,42734
851,458486,43028
852,458692,43037
853,458966,43047
854,459465,43073
855,462363,43466
856,463046,43577
857,463564,43603
858,463744,43615
859,463897,43623
860,464363,43677
861,464755,43690
862,465255,43723
863,465928,43769
864,466214,43774
865,466411,43780
866,466563,43781
867,467125,43822
868,467383,43832
869,467589,43835
870,468397,43913
871,468588,43921
872,471153,44011
873,471354,44021
874,472024,44048
875,475091,44133
876,475237,44138
877,475491,44143
878,475659,44149
879,475884,44157
880,476001,44157
881,476384,44177
882,476868,44306
883,477099,44311
884,477455,44322
885,477991,44354
886,478441,44372
887,478748,44410
888,478904,44414
889,479423,44435
890,479543,44439
891,479793,44456
892,480823,44576
893,481083,44590
894,481400,44621
895,482192,44646
896,483469,44830
897,483805,44866
898,484107,44921
899,484291,44930
900,484410,44932
901,484612,44936
902,485080,44949
903,485761,44969
904,487087,45041
905,491042,45195
906,491339,45210
907,491516,45223
908,491820,45258
909,492618,45282
910,492976,45305
911,493148,45313
912,493628,45325
913,498423,45486
914,498777,45503
915,499564,45531
916,499691,45531
917,499829,45533
918,500033,45545
919,500725,45614
920,500908,45621
921,501123,45624
922,502771,45705
923,503162,45718
924,503829,45748
925,504847,45784
926,505101,45796
927,505358,45804
928,505531,45809
929,506035,45827
930,506394,45836
931,506813,45886
932,507028,45895
933,507684,45931
934,507993,45939
935,508130,45940
936,509569,46015
937,509852,46047
938,510703,46099
939,511693,46130
940,511828,46132
941,512198,46159
942,512383,46165
943,512645,46181
944,513187,46252
945,515011,46335
946,515240,46379
947,515530,46433
948,515838,46447
949,516158,46471
950,516368,46478
951,516614,46494
952,516763,46499
953,517753,46543
954,517965,46549
955,518615,46584
956,518749,46588
957,518992,46595
958,519450,46639
959,519705,46657
960,519840,46661
961,520404,46686
962,520974,46694
963,521112,46696
964,521279,46698
965,521724,46705
966,522121,46724
967,522595,46734
968,522862,46741
969,525321,46865
970,525663,46881
971,525956,46900
972,526476,46909
973,526770,46918
974,527258,46931
975,527579,46945
976,527755,46946
977,528004,46956
978,528156,46963
979,528989,47019
980,529220,47028
981,530050,47076
982,530701,47118
983,531084,47134
984,531275,47145
985,531767,47176
986,532410,47234
987,532692,47241
988,532914,47248
989,533124,47291
990,533266,47295
991,533484,47300
992,533879,47324
993,534955,47377
994,535103,47381
995,536798,47455
996,536919,47460
997,537130,47465
998,537600,47517
999,537792,47532
1000,537966,47541
1001,538131,47548
1002,538285,47551
1003,538476,47563
1004,540309,47647
1005,540635,47655
1006,540893,47679
1007,541252,47702
1008,541417,47706
1009,541828,47718
1010,542140,47722
1011,543293,47769
1012,543912,47788
1013,544100,47791
1014,544939,47830
1015,545484,47888
1016,546487,47917
1017,546634,47919
